id	label
N0	rocket
N1	r
N2	b–l
N3	lexical signs
N4	think+(2h)pass–out_2
N5	a
N6	compound signs
N7	female–figure
N8	crvd–b
N9	stuck
N10	v
N11	prison
N12	adjective
N13	im
N14	fully open
N15	closed
N16	one handed
N17	straight
N18	body
N19	neck
N20	none
N21	yes
N22	action signs
N23	sweater
N24	s
N25	warm
N26	blouse, sweatshirt, t–shirt, shirt, top, woman
N27	noun
N28	c
N29	imrp
N30	curved
N31	open
N32	symmetrical or alternating
N33	torso top
N34	hips
N35	clothing
N36	upside–down
N37	crvd–5
N38	hate
N39	crvd–sprd–b
N40	cocked–8
N41	patient_2
N42	verb
N43	head
N44	chin
N45	head away
N46	mental state terms
N47	face
N48	(5)face+
N49	mother
N50	i
N51	circular
N52	body parts
N53	park
N54	park+
N55	wait
N56	to park
N57	asymmetrical different handshape
N58	hand
N59	palm
N60	b
N61	event
N62	no
N63	peak–mountain
N64	all–right
N65	legal–right
N66	all–right+
N67	nineteen
N68	f
N69	number signs
N70	nineteen+
N71	dinner+box/room
N72	dinner++box/room
N73	d
N74	both
N75	bent–v
N76	bent–u
N77	flat–o
N78	things
N79	minor
N80	hand away
N81	lipread
N82	lipread+
N83	communication
N84	about
N85	(nd–flat–o)about
N86	any+one_2
N87	red+slice
N88	o
N89	go–to–it
N90	bent–1
N91	single
N92	bachelor
N93	swinging–single
N94	wander
N95	single (relationship)
N96	z–shaped
N97	expensive
N98	money
N99	flat_o
N100	flat
N101	back and forth
N102	camp
N103	i–l–y
N104	horns
N105	camp+
N106	nine+hour
N107	become
N108	peace
N109	open_b
N110	neutral
N111	#adj
N112	i_j
N113	loan signs
N114	fun
N115	u
N116	pepper
N117	h
N118	cheek nose
N119	fullyopen
N120	asymmetrical same handshape
N121	finger back
N122	attribute
N123	point–to
N124	jaw
N125	g
N126	think+mix–up
N127	(s)old+less–than
N128	bent–b–l
N129	b–xd
N130	#no
N131	u–l
N132	flat–o–2
N133	flat–o_2
